OpenJDK 64-Bit Server VM (25.412-b1) for windows-amd64 JRE (1.8.0_412-b1), built on Apr 23 2024 12:00:37 by "Administrator" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16485540k(5646788k free), swap 27297060k(11766592k free)
CommandLine flags: -XX:ActiveProcessorCount=8 -XX:InitialHeapSize=8589934592 -XX:MaxHeapSize=8589934592 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
314.819: [GC (Allocation Failure) 314.819: [DefNew: 2483854K->247377K(2516544K), 0.1881849 secs] 4175593K->2055531K(8108992K), 0.1882448 secs] [Times: user=0.16 sys=0.03, real=0.19 secs] 
332.445: [GC (Allocation Failure) 332.445: [DefNew: 2484305K->238707K(2516544K), 0.4689849 secs] 4292459K->2162489K(8108992K), 0.4690501 secs] [Times: user=0.13 sys=0.34, real=0.47 secs] 
352.554: [GC (Allocation Failure) 352.554: [DefNew: 2475635K->238301K(2516544K), 0.5611759 secs] 4399417K->2277858K(8108992K), 0.5612346 secs] [Times: user=0.20 sys=0.36, real=0.56 secs] 
372.507: [GC (Allocation Failure) 372.507: [DefNew: 2475229K->248599K(2516544K), 0.4649572 secs] 4514786K->2397026K(8108992K), 0.4650184 secs] [Times: user=0.20 sys=0.27, real=0.46 secs] 
393.865: [GC (Allocation Failure) 393.865: [DefNew: 2485527K->239937K(2516544K), 0.4738338 secs] 4633954K->2504428K(8108992K), 0.4738929 secs] [Times: user=0.16 sys=0.33, real=0.47 secs] 
414.187: [GC (Allocation Failure) 414.187: [DefNew: 2476865K->244572K(2516544K), 0.5127539 secs] 4741356K->2626636K(8108992K), 0.5128338 secs] [Times: user=0.17 sys=0.33, real=0.51 secs] 
434.259: [GC (Allocation Failure) 434.259: [DefNew: 2481500K->247657K(2516544K), 0.1937720 secs] 4863564K->2740054K(8108992K), 0.1938321 secs] [Times: user=0.17 sys=0.03, real=0.19 secs] 
453.723: [GC (Allocation Failure) 453.723: [DefNew: 2484585K->239464K(2516544K), 0.2033631 secs] 4976982K->2851479K(8108992K), 0.2034299 secs] [Times: user=0.17 sys=0.03, real=0.20 secs] 
472.954: [GC (Allocation Failure) 472.954: [DefNew: 2476392K->237134K(2516544K), 0.3094432 secs] 5088407K->2962492K(8108992K), 0.3094908 secs] [Times: user=0.19 sys=0.13, real=0.31 secs] 
492.419: [GC (Allocation Failure) 492.419: [DefNew: 2474062K->236506K(2516544K), 0.2277345 secs] 5199420K->3072886K(8108992K), 0.2278009 secs] [Times: user=0.20 sys=0.03, real=0.23 secs] 
