OpenJDK 64-Bit Server VM (25.412-b1) for windows-amd64 JRE (1.8.0_412-b1), built on Apr 23 2024 12:00:37 by "Administrator" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16485540k(8761460k free), swap 28358524k(12358588k free)
CommandLine flags: -XX:ActiveProcessorCount=8 -XX:InitialHeapSize=8589934592 -XX:MaxHeapSize=8589934592 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
254.206: [GC (Allocation Failure) [PSYoungGen: 1742290K->541666K(1753600K)] 2486474K->1285858K(7346176K), 0.1263253 secs] [Times: user=0.89 sys=0.00, real=0.13 secs] 
266.093: [GC (Allocation Failure) [PSYoungGen: 1753570K->550226K(1936384K)] 2497762K->1294426K(7528960K), 0.1366369 secs] [Times: user=1.13 sys=0.00, real=0.14 secs] 
277.175: [GC (Allocation Failure) [PSYoungGen: 1668946K->563026K(1681920K)] 2413146K->1307234K(7274496K), 0.1320146 secs] [Times: user=1.00 sys=0.00, real=0.13 secs] 
287.972: [GC (Allocation Failure) [PSYoungGen: 1681746K->518194K(1942528K)] 2425954K->1318595K(7535104K), 0.1348840 secs] [Times: user=0.94 sys=0.05, real=0.13 secs] 
298.298: [GC (Allocation Failure) [PSYoungGen: 1602610K->489810K(1937920K)] 2403011K->1327578K(7530496K), 0.1358301 secs] [Times: user=0.98 sys=0.01, real=0.14 secs] 
308.839: [GC (Allocation Failure) [PSYoungGen: 1574226K->490087K(1976832K)] 2411994K->1338889K(7569408K), 0.1114322 secs] [Times: user=0.86 sys=0.02, real=0.11 secs] 
318.260: [GC (Allocation Failure) [PSYoungGen: 1630311K->493563K(1959424K)] 2479113K->1346568K(7552000K), 0.1308012 secs] [Times: user=1.00 sys=0.00, real=0.13 secs] 
329.900: [GC (Allocation Failure) [PSYoungGen: 1633787K->494012K(2008576K)] 2486792K->1361769K(7601152K), 0.1327673 secs] [Times: user=0.98 sys=0.02, real=0.13 secs] 
342.448: [GC (Allocation Failure) [PSYoungGen: 1699260K->487260K(1992704K)] 2567017K->1370980K(7585280K), 0.1226468 secs] [Times: user=0.98 sys=0.01, real=0.12 secs] 
354.817: [GC (Allocation Failure) [PSYoungGen: 1692508K->543916K(2019840K)] 2576228K->1436115K(7612416K), 0.1245715 secs] [Times: user=1.00 sys=0.00, real=0.12 secs] 
370.032: [GC (Allocation Failure) [PSYoungGen: 1794732K->617340K(1868288K)] 2686931K->1511941K(7460864K), 0.1553747 secs] [Times: user=1.13 sys=0.01, real=0.15 secs] 
385.065: [GC (Allocation Failure) [PSYoungGen: 1868156K->691516K(1900032K)] 2762757K->1587740K(7492608K), 0.2141860 secs] [Times: user=1.44 sys=0.00, real=0.21 secs] 
397.313: [GC (Allocation Failure) [PSYoungGen: 1791804K->767260K(1867776K)] 2688028K->1663644K(7460352K), 0.1873441 secs] [Times: user=1.50 sys=0.00, real=0.19 secs] 
409.555: [GC (Allocation Failure) [PSYoungGen: 1867548K->834666K(1845760K)] 2763932K->1731978K(7438336K), 0.2080869 secs] [Times: user=1.63 sys=0.00, real=0.21 secs] 
419.249: [GC (Allocation Failure) [PSYoungGen: 1767018K->893052K(1864192K)] 2664330K->1796556K(7456768K), 0.2198336 secs] [Times: user=1.73 sys=0.00, real=0.22 secs] 
428.508: [GC (Allocation Failure) [PSYoungGen: 1825404K->917628K(1864192K)] 2728908K->1859206K(7456768K), 0.2391206 secs] [Times: user=1.86 sys=0.01, real=0.24 secs] 
