OpenJDK 64-Bit Server VM (25.345-b01) for windows-amd64 JRE (1.8.0_345-b01), built on Aug  3 2022 09:57:30 by "build" with MS VC++ 10.0 (VS2010)
270.124: [GC (Allocation Failure) [PSYoungGen: 1446619K->460026K(1864192K)] 2350122K->1428774K(7456768K), 0.1346211 secs] [Times: user=1.00 sys=0.00, real=0.13 secs] 
279.723: [GC (Allocation Failure) [PSYoungGen: 1392378K->468651K(1930240K)] 2361126K->1437400K(7522816K), 0.1240361 secs] [Times: user=1.00 sys=0.00, real=0.12 secs] 
290.496: [GC (GCLocker Initiated GC) [PSYoungGen: 1499819K->477935K(1896960K)] 2468568K->1446684K(7489536K), 0.1325392 secs] [Times: user=1.00 sys=0.00, real=0.13 secs] 
301.356: [GC (Allocation Failure) [PSYoungGen: 1509103K->486811K(1979904K)] 2477854K->1455562K(7572480K), 0.1403114 secs] [Times: user=1.13 sys=0.00, real=0.14 secs] 
312.365: [GC (Allocation Failure) [PSYoungGen: 1628059K->494874K(1957376K)] 2596810K->1463624K(7549952K), 0.1397430 secs] [Times: user=1.13 sys=0.00, real=0.14 secs] 
323.331: [GC (Allocation Failure) [PSYoungGen: 1636122K->504586K(2012672K)] 2604872K->1479494K(7605248K), 0.1334934 secs] [Times: user=1.13 sys=0.00, real=0.13 secs] 
336.159: [GC (Allocation Failure) [PSYoungGen: 1719562K->507722K(1998336K)] 2694470K->1487995K(7590912K), 0.1352585 secs] [Times: user=1.13 sys=0.00, real=0.13 secs] 
349.100: [GC (Allocation Failure) [PSYoungGen: 1722698K->558284K(2015232K)] 2702971K->1540895K(7607808K), 0.1425374 secs] [Times: user=1.13 sys=0.00, real=0.14 secs] 
362.514: [GC (Allocation Failure) [PSYoungGen: 1803980K->643084K(1889280K)] 2786591K->1628654K(7481856K), 0.1725171 secs] [Times: user=1.38 sys=0.00, real=0.17 secs] 
375.800: [GC (Allocation Failure) [PSYoungGen: 1888780K->727260K(1873920K)] 2874350K->1713390K(7466496K), 0.1843751 secs] [Times: user=1.50 sys=0.00, real=0.18 secs] 
386.996: [GC (Allocation Failure) [PSYoungGen: 1792732K->799948K(1865728K)] 2778862K->1786358K(7458304K), 0.2121347 secs] [Times: user=1.63 sys=0.00, real=0.21 secs] 
398.236: [GC (Allocation Failure) [PSYoungGen: 1865420K->850368K(1862656K)] 2851830K->1859047K(7455232K), 0.2187625 secs] [Times: user=1.75 sys=0.00, real=0.22 secs] 
407.823: [GC (Allocation Failure) [PSYoungGen: 1782720K->907136K(1864192K)] 2791399K->1921647K(7456768K), 0.2381040 secs] [Times: user=1.88 sys=0.00, real=0.24 secs] 
417.531: [GC (Allocation Failure) [PSYoungGen: 1839488K->916880K(1864192K)] 2853999K->1988729K(7456768K), 0.2408701 secs] [Times: user=1.84 sys=0.03, real=0.24 secs] 
427.391: [GC (Allocation Failure) [PSYoungGen: 1849232K->842463K(1864192K)] 2921081K->2061531K(7456768K), 0.2560138 secs] [Times: user=1.92 sys=0.08, real=0.26 secs] 
436.954: [GC (Allocation Failure) [PSYoungGen: 1774815K->754639K(1864192K)] 2993883K->2132587K(7456768K), 0.2392782 secs] [Times: user=1.73 sys=0.13, real=0.24 secs] 
446.556: [GC (Allocation Failure) [PSYoungGen: 1686991K->649183K(1864192K)] 3064939K->2207656K(7456768K), 0.2017119 secs] [Times: user=1.42 sys=0.13, real=0.20 secs] 
455.975: [GC (Allocation Failure) [PSYoungGen: 1581535K->540575K(1864192K)] 3140008K->2283031K(7456768K), 0.2049398 secs] [Times: user=1.50 sys=0.13, real=0.20 secs] 
465.496: [GC (Allocation Failure) [PSYoungGen: 1472927K->455871K(1864192K)] 3215383K->2352389K(7456768K), 0.1677712 secs] [Times: user=1.17 sys=0.08, real=0.17 secs] 
475.008: [GC (Allocation Failure) [PSYoungGen: 1388223K->391424K(1864192K)] 3284741K->2421059K(7456768K), 0.1427889 secs] [Times: user=1.02 sys=0.13, real=0.14 secs] 
484.412: [GC (Allocation Failure) [PSYoungGen: 1323776K->325407K(1864192K)] 3353411K->2488748K(7456768K), 0.1258099 secs] [Times: user=0.95 sys=0.05, real=0.13 secs] 
493.705: [GC (Allocation Failure) [PSYoungGen: 1257759K->258815K(1864192K)] 3421100K->2555775K(7456768K), 0.1150621 secs] [Times: user=0.84 sys=0.03, real=0.12 secs] 
502.948: [GC (Allocation Failure) [PSYoungGen: 1191167K->197663K(1864192K)] 3488127K->2625175K(7456768K), 0.0901462 secs] [Times: user=0.55 sys=0.06, real=0.09 secs] 
511.930: [GC (Allocation Failure) [PSYoungGen: 1130015K->134815K(1864192K)] 3557527K->2691553K(7456768K), 0.0762141 secs] [Times: user=0.48 sys=0.14, real=0.08 secs] 
520.765: [GC (Allocation Failure) [PSYoungGen: 1067167K->68863K(1864192K)] 3623905K->2756339K(7456768K), 0.0709470 secs] [Times: user=0.39 sys=0.11, real=0.07 secs] 
529.463: [GC (GCLocker Initiated GC) [PSYoungGen: 1001215K->67533K(1864192K)] 3688691K->2818746K(7456768K), 0.0490005 secs] [Times: user=0.31 sys=0.06, real=0.05 secs] 
538.023: [GC (Allocation Failure) [PSYoungGen: 999885K->66079K(1864192K)] 3751100K->2880259K(7456768K), 0.0501131 secs] [Times: user=0.48 sys=0.02, real=0.05 secs] 
546.532: [GC (Allocation Failure) [PSYoungGen: 998431K->64287K(1864192K)] 3812611K->2940100K(7456768K), 0.0422683 secs] [Times: user=0.36 sys=0.02, real=0.04 secs] 
555.035: [GC (Allocation Failure) [PSYoungGen: 996639K->64063K(1864192K)] 3872452K->3000206K(7456768K), 0.0426272 secs] [Times: user=0.30 sys=0.08, real=0.04 secs] 
563.394: [GC (Allocation Failure) [PSYoungGen: 996415K->62943K(1864192K)] 3932558K->3059504K(7456768K), 0.0428240 secs] [Times: user=0.34 sys=0.03, real=0.04 secs] 
571.583: [GC (Allocation Failure) [PSYoungGen: 995295K->60063K(1864192K)] 3991856K->3115402K(7456768K), 0.0412350 secs] [Times: user=0.28 sys=0.09, real=0.04 secs] 
579.808: [GC (Allocation Failure) [PSYoungGen: 992415K->61583K(1864192K)] 4047754K->3173493K(7456768K), 0.0444425 secs] [Times: user=0.24 sys=0.02, real=0.04 secs] 
